side,rule,severity,description,depth,source_clock,destination_clock,exception,destination,multiplicity
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[19]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[1]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[20]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[21]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[22]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[23]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[24]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[25]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[26]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[27]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[28]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[29]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[2]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[30]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[31]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[3]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[4]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[5]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[6]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[7]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[8]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[9]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[0]/S,1
CURRENT_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[10]/S,1
