role,path_class,delay_type,status,path_count,path_index,startpoint,end_point,path_group,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,slack_ns,requirement_ns,is_unconstrained,routable_nets
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","4","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][47]/CE","NOT_AVAILABLE","3.797","NOT_AVAILABLE","NOT_AVAILABLE","2","11.699","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","5","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][26]/CE","NOT_AVAILABLE","3.884","NOT_AVAILABLE","NOT_AVAILABLE","2","11.734","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","6","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][31]/CE","NOT_AVAILABLE","3.839","NOT_AVAILABLE","NOT_AVAILABLE","2","11.748","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","7","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][27]/CE","NOT_AVAILABLE","3.884","NOT_AVAILABLE","NOT_AVAILABLE","2","11.782","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","8","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][47]/CE","NOT_AVAILABLE","3.884","NOT_AVAILABLE","NOT_AVAILABLE","2","11.782","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","9","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[0][44]/CE","NOT_AVAILABLE","3.877","NOT_AVAILABLE","NOT_AVAILABLE","2","11.821","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","10","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][29]/CE","NOT_AVAILABLE","3.642","NOT_AVAILABLE","NOT_AVAILABLE","2","11.862","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","11","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][36]/CE","NOT_AVAILABLE","3.629","NOT_AVAILABLE","NOT_AVAILABLE","2","11.903","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","12","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[3][4]/CE","NOT_AVAILABLE","3.629","NOT_AVAILABLE","NOT_AVAILABLE","2","11.903","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","13","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][40]/CE","NOT_AVAILABLE","3.749","NOT_AVAILABLE","NOT_AVAILABLE","2","11.913","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","14","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][8]/CE","NOT_AVAILABLE","3.749","NOT_AVAILABLE","NOT_AVAILABLE","2","11.913","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","15","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][36]/CE","NOT_AVAILABLE","3.766","NOT_AVAILABLE","NOT_AVAILABLE","2","11.927","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","16","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][29]/CE","NOT_AVAILABLE","3.559","NOT_AVAILABLE","NOT_AVAILABLE","2","11.937","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","17","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][26]/CE","NOT_AVAILABLE","3.840","NOT_AVAILABLE","NOT_AVAILABLE","2","11.949","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","18","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][20]/CE","NOT_AVAILABLE","3.774","NOT_AVAILABLE","NOT_AVAILABLE","2","11.952","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","19","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][19]/CE","NOT_AVAILABLE","3.574","NOT_AVAILABLE","NOT_AVAILABLE","2","11.953","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","0","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_overflow_r_reg/D","NOT_AVAILABLE","0.643","NOT_AVAILABLE","NOT_AVAILABLE","1","0.258","0.000","NOT_AVAILABLE","1"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","1","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/last_ack_r_reg/D","NOT_AVAILABLE","0.706","NOT_AVAILABLE","NOT_AVAILABLE","1","0.349","0.000","NOT_AVAILABLE","1"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","2","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/cur_error_reg/D","NOT_AVAILABLE","0.679","NOT_AVAILABLE","NOT_AVAILABLE","1","0.551","0.000","NOT_AVAILABLE","1"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","3","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_meta_bank_r_reg[2]/CE","NOT_AVAILABLE","0.849","NOT_AVAILABLE","NOT_AVAILABLE","1","0.622","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","4","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_meta_bank_r_reg[3]/CE","NOT_AVAILABLE","0.849","NOT_AVAILABLE","NOT_AVAILABLE","1","0.622","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","5","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_valid_r_reg/D","NOT_AVAILABLE","0.816","NOT_AVAILABLE","NOT_AVAILABLE","2","0.660","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","6","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[0][10]/CE","NOT_AVAILABLE","0.896","NOT_AVAILABLE","NOT_AVAILABLE","2","0.668","0.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","7","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[0][2]/CE","NOT_AVAILABLE","0.924","NOT_AVAILABLE","NOT_AVAILABLE","2","0.676","0.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","8","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_meta_bank_r_reg[6]/CE","NOT_AVAILABLE","0.921","NOT_AVAILABLE","NOT_AVAILABLE","1","0.690","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","9","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_meta_bank_r_reg[7]/CE","NOT_AVAILABLE","0.921","NOT_AVAILABLE","NOT_AVAILABLE","1","0.690","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","10","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_phys_bank_r_reg[4]/CE","NOT_AVAILABLE","0.921","NOT_AVAILABLE","NOT_AVAILABLE","1","0.690","0.000","NOT_AVAILABLE","2"
"R1","SDA_FILTERED_TO_ACK_DECISION","min","TIMING_PATH_REPORTED","20","11","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/first_error_phys_bank_r_reg[5]/CE","NOT_AVAILABLE","0.921","NOT_AVAILABLE","NOT_AVAILABLE","1","0.690","0.000","NOT_AVAILABLE","2"
