"Name","Severity","Rule"
"CDC-1#336","CRITICAL","CDC-1"
"CDC-1#337","CRITICAL","CDC-1"
"CDC-1#338","CRITICAL","CDC-1"
"CDC-1#339","CRITICAL","CDC-1"
"CDC-1#340","CRITICAL","CDC-1"
"CDC-1#341","CRITICAL","CDC-1"
"CDC-1#342","CRITICAL","CDC-1"
"CDC-1#343","CRITICAL","CDC-1"
"CDC-1#344","CRITICAL","CDC-1"
"CDC-1#345","CRITICAL","CDC-1"
"CDC-1#346","CRITICAL","CDC-1"
"CDC-1#347","CRITICAL","CDC-1"
"CDC-1#348","CRITICAL","CDC-1"
"CDC-1#349","CRITICAL","CDC-1"
"CDC-1#350","CRITICAL","CDC-1"
"CDC-1#351","CRITICAL","CDC-1"
"CDC-1#352","CRITICAL","CDC-1"
"CDC-1#353","CRITICAL","CDC-1"
"CDC-1#354","CRITICAL","CDC-1"
"CDC-1#355","CRITICAL","CDC-1"
"CDC-1#356","CRITICAL","CDC-1"
"CDC-1#357","CRITICAL","CDC-1"
"CDC-1#358","CRITICAL","CDC-1"
"CDC-1#359","CRITICAL","CDC-1"
"CDC-1#360","CRITICAL","CDC-1"
"CDC-1#361","CRITICAL","CDC-1"
"CDC-1#362","CRITICAL","CDC-1"
"CDC-1#363","CRITICAL","CDC-1"
"CDC-1#364","CRITICAL","CDC-1"
"CDC-1#365","CRITICAL","CDC-1"
"CDC-1#366","CRITICAL","CDC-1"
"CDC-1#367","CRITICAL","CDC-1"
"CDC-1#368","CRITICAL","CDC-1"
"CDC-1#369","CRITICAL","CDC-1"
"CDC-1#370","CRITICAL","CDC-1"
"CDC-1#371","CRITICAL","CDC-1"
"CDC-1#372","CRITICAL","CDC-1"
"CDC-1#373","CRITICAL","CDC-1"
"CDC-1#374","CRITICAL","CDC-1"
"CDC-1#375","CRITICAL","CDC-1"
"CDC-1#376","CRITICAL","CDC-1"
"CDC-1#377","CRITICAL","CDC-1"
"CDC-1#378","CRITICAL","CDC-1"
"CDC-1#379","CRITICAL","CDC-1"
"CDC-1#380","CRITICAL","CDC-1"
"CDC-1#381","CRITICAL","CDC-1"
"CDC-1#382","CRITICAL","CDC-1"
"CDC-1#383","CRITICAL","CDC-1"
"CDC-1#384","CRITICAL","CDC-1"
"CDC-1#385","CRITICAL","CDC-1"
"CDC-1#386","CRITICAL","CDC-1"
"CDC-1#387","CRITICAL","CDC-1"
"CDC-1#388","CRITICAL","CDC-1"
"CDC-1#389","CRITICAL","CDC-1"
"CDC-1#390","CRITICAL","CDC-1"
"CDC-1#391","CRITICAL","CDC-1"
"CDC-1#392","CRITICAL","CDC-1"
"CDC-1#393","CRITICAL","CDC-1"
"CDC-1#394","CRITICAL","CDC-1"
"CDC-1#395","CRITICAL","CDC-1"
"CDC-1#396","CRITICAL","CDC-1"
"CDC-1#397","CRITICAL","CDC-1"
"CDC-1#398","CRITICAL","CDC-1"
"CDC-1#399","CRITICAL","CDC-1"
"CDC-1#400","CRITICAL","CDC-1"
"CDC-1#401","CRITICAL","CDC-1"
"CDC-1#402","CRITICAL","CDC-1"
"CDC-1#403","CRITICAL","CDC-1"
"CDC-1#404","CRITICAL","CDC-1"
"CDC-1#405","CRITICAL","CDC-1"
"CDC-1#406","CRITICAL","CDC-1"
"CDC-1#407","CRITICAL","CDC-1"
"CDC-1#408","CRITICAL","CDC-1"
"CDC-1#409","CRITICAL","CDC-1"
"CDC-1#410","CRITICAL","CDC-1"
"CDC-1#411","CRITICAL","CDC-1"
"CDC-1#412","CRITICAL","CDC-1"
"CDC-10#2","CRITICAL","CDC-10"
"CDC-1#413","CRITICAL","CDC-1"
"CDC-1#414","CRITICAL","CDC-1"
"CDC-1#415","CRITICAL","CDC-1"
"CDC-1#416","CRITICAL","CDC-1"
"CDC-1#417","CRITICAL","CDC-1"
"CDC-1#418","CRITICAL","CDC-1"
"CDC-1#419","CRITICAL","CDC-1"
"CDC-1#420","CRITICAL","CDC-1"
"CDC-1#421","CRITICAL","CDC-1"
"CDC-1#422","CRITICAL","CDC-1"
"CDC-1#423","CRITICAL","CDC-1"
