sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2119,-953,-15248,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2120,-952,-15232,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2121,-951,-15216,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2122,-950,-15200,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2123,-949,-15184,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2124,-948,-15168,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2125,-947,-15152,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2126,-946,-15136,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2127,-945,-15120,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2128,-944,-15104,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2129,-943,-15088,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2130,-942,-15072,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2131,-941,-15056,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2132,-940,-15040,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2133,-939,-15024,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2134,-938,-15008,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2135,-937,-14992,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2136,-936,-14976,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
