Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
201,15,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.606,PASS
202,15,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.857,PASS
203,15,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,11.141,PASS
204,15,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.716,PASS
205,16,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.606,PASS
206,16,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.606,PASS
207,16,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.526,PASS
208,16,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.566,PASS
209,16,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.496,PASS
210,16,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.054,PASS
211,16,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.045,PASS
212,16,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.54,PASS
213,16,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.49,PASS
214,16,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.53,PASS
215,16,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.52,PASS
216,16,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.541,PASS
217,17,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.57,PASS
218,17,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.54,PASS
219,17,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.57,PASS
220,17,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.56,PASS
221,17,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
222,17,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,5.611,PASS
223,17,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.54,PASS
224,17,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.51,PASS
225,17,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.54,PASS
226,17,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.661,PASS
227,17,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.83,PASS
228,17,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.891,PASS
229,18,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.741,PASS
230,18,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.75,PASS
231,18,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.61,PASS
232,18,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.53,PASS
233,18,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.59,PASS
234,18,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.228,PASS
235,18,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.58,PASS
236,18,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.601,PASS
237,18,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.501,PASS
238,18,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.551,PASS
239,18,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.51,PASS
