"TRANSACTION_INDEX","PHASE","TABLE_SLOT","KIND","META_BANK","PHYS_BANK_BEFORE","WIRE_ADDR_W","REG","WDATA","WIRE_ADDR_R","EXPECTED_RDATA","PHYS_BANK_AFTER","FSM_TICK_ACTIONS"
"30","INIT","20","TARGET_WRITE","05","05","60","C8","04","","","05","61"
"31","INIT","21","SELECT_WRITE","0A","05","60","FF","0A","","","05","61"
"32","INIT","21","SELECT_VERIFY","0A","05","60","FF","","61","0A","0A","83"
"33","INIT","21","TARGET_WRITE","0A","0A","60","74","02","","","0A","61"
"34","INIT","22","SELECT_WRITE","09","0A","60","FF","09","","","0A","61"
"35","INIT","22","SELECT_VERIFY","09","0A","60","FF","","61","09","09","83"
"36","INIT","22","TARGET_WRITE","09","09","60","64","98","","","09","61"
"37","INIT","23","TARGET_WRITE","09","09","60","6A","18","","","09","61"
"38","INIT","24","TARGET_WRITE","09","09","60","6B","FF","","","09","61"
"39","INIT","25","TARGET_WRITE","09","09","60","80","00","","","09","61"
"40","INIT","26","TARGET_WRITE","09","09","60","81","00","","","09","61"
"41","INIT","27","SELECT_WRITE","00","09","60","FF","00","","","09","61"
"42","INIT","27","SELECT_VERIFY","00","09","60","FF","","61","00","00","83"
"43","INIT","27","TARGET_WRITE","00","00","60","00","00","","","00","61"
"44","INIT","28","SELECT_WRITE","05","00","60","FF","05","","","00","61"
"45","INIT","28","SELECT_VERIFY","05","00","60","FF","","61","05","05","83"
"46","INIT","28","TARGET_WRITE","05","05","60","00","C0","","","05","61"
"47","INIT","29","TARGET_WRITE","05","05","60","01","00","","","05","61"
"48","INIT","30","TARGET_WRITE","05","05","60","58","00","","","05","61"
"49","INIT","31","TARGET_WRITE","05","05","60","59","00","","","05","61"
"50","INIT","32","TARGET_WRITE","05","05","60","5B","03","","","05","61"
"51","INIT","33","SELECT_WRITE","00","05","60","FF","00","","","05","61"
"52","INIT","33","SELECT_VERIFY","00","05","60","FF","","61","00","00","83"
"53","INIT","33","TARGET_WRITE","00","00","60","08","DD","","","00","61"
"54","INIT","34","TARGET_WRITE","00","00","60","0C","08","","","00","61"
"55","INIT","35","TARGET_WRITE","00","00","60","10","88","","","00","61"
"56","INIT","36","TARGET_WRITE","00","00","60","14","90","","","00","61"
"57","INIT","37","TARGET_WRITE","00","00","60","18","08","","","00","61"
"58","INIT","38","TARGET_WRITE","00","00","60","21","02","","","00","61"
"59","INIT","39","TARGET_WRITE","00","00","60","3C","84","","","00","61"
"60","INIT","40","TARGET_WRITE","00","00","60","44","00","","","00","61"
"61","INIT","41","TARGET_WRITE","00","00","60","48","00","","","00","61"
"62","INIT","42","TARGET_WRITE","00","00","60","4C","00","","","00","61"
"63","INIT","43","TARGET_WRITE","00","00","60","50","00","","","00","61"
"64","INIT","44","SELECT_WRITE","01","00","60","FF","01","","","00","61"
"65","INIT","44","SELECT_VERIFY","01","00","60","FF","","61","01","01","83"
"66","INIT","44","TARGET_WRITE","01","01","60","ED","00","","","01","61"
"67","INIT","45","SELECT_WRITE","05","01","60","FF","05","","","01","61"
"68","INIT","45","SELECT_VERIFY","05","01","60","FF","","61","05","05","83"
"69","INIT","45","TARGET_WRITE","05","05","60","69","00","","","05","61"
"70","INIT","46","TARGET_WRITE","05","05","60","47","04","","","05","61"
"71","INIT","47","TARGET_WRITE","05","05","60","50","84","","","05","61"
"72","INIT","48","TARGET_WRITE","05","05","60","84","00","","","05","61"
"73","INIT","49","TARGET_WRITE","05","05","60","86","00","","","05","61"
"74","INIT","50","TARGET_WRITE","05","05","60","D1","10","","","05","61"
"75","INIT","51","TARGET_WRITE","05","05","60","57","00","","","05","61"
"76","INIT","52","TARGET_WRITE","05","05","60","90","01","","","05","61"
"77","INIT","53","TARGET_WRITE","05","05","60","08","70","","","05","61"
"78","INIT","54","TARGET_WRITE","05","05","60","11","04","","","05","61"
"79","INIT","55","TARGET_WRITE","05","05","60","1B","20","","","05","61"
"80","INIT","56","TARGET_WRITE","05","05","60","24","10","","","05","61"
"81","INIT","57","TARGET_WRITE","05","05","60","25","CA","","","05","61"
"82","INIT","58","TARGET_WRITE","05","05","60","26","30","","","05","61"
"83","INIT","59","TARGET_WRITE","05","05","60","29","30","","","05","61"
"84","INIT","60","TARGET_WRITE","05","05","60","2A","30","","","05","61"
"85","INIT","61","TARGET_WRITE","05","05","60","2B","A8","","","05","61"
"86","INIT","62","TARGET_WRITE","05","05","60","5F","70","","","05","61"
"87","INIT","63","TARGET_WRITE","05","05","60","56","00","","","05","61"
"88","INIT","64","TARGET_WRITE","05","05","60","90","0D","","","05","61"
"89","INIT","65","TARGET_WRITE","05","05","60","9B","80","","","05","61"
"90","INIT","66","TARGET_WRITE","05","05","60","B5","00","","","05","61"
"91","INIT","67","TARGET_WRITE","05","05","60","B7","FF","","","05","61"
"92","INIT","68","TARGET_WRITE","05","05","60","B8","B8","","","05","61"
"93","INIT","69","TARGET_WRITE","05","05","60","BB","B8","","","05","61"
"94","INIT","70","TARGET_WRITE","05","05","60","D1","20","","","05","61"
"95","INIT","71","TARGET_WRITE","05","05","60","20","84","","","05","61"
"96","INIT","72","TARGET_WRITE","05","05","60","27","57","","","05","61"
"97","INIT","73","TARGET_WRITE","05","05","60","76","01","","","05","61"
"98","INIT","74","TARGET_WRITE","05","05","60","6E","00","","","05","61"
"99","INIT","75","TARGET_WRITE","05","05","60","6F","00","","","05","61"
"100","INIT","76","SELECT_WRITE","09","05","60","FF","09","","","05","61"
"101","INIT","76","SELECT_VERIFY","09","05","60","FF","","61","09","09","83"
"102","INIT","76","TARGET_WRITE","09","09","60","40","00","","","09","61"
"103","INIT","77","TARGET_WRITE","09","09","60","44","00","","","09","61"
"104","INIT","78","TARGET_WRITE","09","09","60","50","CB","","","09","61"
"105","INIT","79","TARGET_WRITE","09","09","60","51","8A","","","09","61"
"106","INIT","80","TARGET_WRITE","09","09","60","52","09","","","09","61"
"107","INIT","81","TARGET_WRITE","09","09","60","53","2A","","","09","61"
"108","INIT","82","TARGET_WRITE","09","09","60","97","00","","","09","61"
"109","INIT","83","TARGET_WRITE","09","09","60","98","00","","","09","61"
"110","INIT","84","TARGET_WRITE","09","09","60","99","00","","","09","61"
"111","INIT","85","SELECT_WRITE","02","09","60","FF","02","","","09","61"
"112","INIT","85","SELECT_VERIFY","02","09","60","FF","","61","02","02","83"
"113","INIT","85","TARGET_WRITE","02","02","60","02","03","","","02","61"
"114","INIT","86","TARGET_WRITE","02","02","60","28","01","","","02","61"
"115","INIT","87","TARGET_WRITE","02","02","60","29","3C","","","02","61"
"116","INIT","88","TARGET_WRITE","02","02","60","2A","0C","","","02","61"
"117","INIT","89","TARGET_WRITE","02","02","60","2B","06","","","02","61"
"118","INIT","90","TARGET_WRITE","02","02","60","2C","36","","","02","61"
"119","INIT","91","SELECT_WRITE","11","02","60","FF","11","","","02","61"
"120","INIT","91","SELECT_VERIFY","11","02","60","FF","","61","11","11","83"
"121","INIT","91","TARGET_WRITE","11","11","60","00","00","","","11","61"
"122","INIT","92","SELECT_WRITE","01","11","60","FF","01","","","11","61"
"123","INIT","92","SELECT_VERIFY","01","11","60","FF","","61","01","01","83"
"124","INIT","92","TARGET_WRITE","01","01","60","84","47","","","01","61"
"125","INIT","93","TARGET_WRITE","01","01","60","8C","A7","","","01","61"
"126","INIT","94","SELECT_WRITE","00","01","60","FF","00","","","01","61"
"127","INIT","94","SELECT_VERIFY","00","01","60","FF","","61","00","00","83"
"128","INIT","94","TARGET_WRITE","00","00","60","40","00","","","00","61"
"129","INIT","95","TARGET_WRITE","00","00","60","81","70","","","00","61"
"130","INIT","96","TARGET_WRITE","00","00","60","85","00","","","00","61"
"131","INIT","97","TARGET_WRITE","00","00","60","18","14","","","00","61"
"132","INIT","98","TARGET_WRITE","00","00","60","30","10","","","00","61"
"133","INIT","99","TARGET_WRITE","00","00","60","58","30","","","00","61"
"134","INIT","100","TARGET_WRITE","00","00","60","5C","1E","","","00","61"
"135","INIT","101","TARGET_WRITE","00","00","60","64","2D","","","00","61"
