transaction_ordinal,operation,group_index,group_name,bank,entry_index,register,derived_or_verified
46,READ_MANIFEST_ENTRY,4,G1,0x01,34,0x8E,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
47,READ_MANIFEST_ENTRY,4,G1,0x01,35,0x87,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
48,READ_MANIFEST_ENTRY,4,G1,0x01,36,0x8F,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
49,SELECT_GROUP_BANK_WRITE,5,G2,0x05,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
50,VERIFY_GROUP_BANK_READ,5,G2,0x05,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
51,READ_MANIFEST_ENTRY,5,G2,0x05,37,0xF0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
52,READ_MANIFEST_ENTRY,5,G2,0x05,38,0xF2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
53,READ_MANIFEST_ENTRY,5,G2,0x05,39,0xF3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
54,READ_MANIFEST_ENTRY,5,G2,0x05,40,0xF4,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
55,READ_MANIFEST_ENTRY,5,G2,0x05,41,0xF5,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
56,READ_MANIFEST_ENTRY,5,G2,0x05,42,0xE2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
57,READ_MANIFEST_ENTRY,5,G2,0x05,43,0xE3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
58,READ_MANIFEST_ENTRY,5,G2,0x05,44,0xE8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
59,READ_MANIFEST_ENTRY,5,G2,0x05,45,0xE9,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
60,READ_MANIFEST_ENTRY,5,G2,0x05,46,0xEA,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
61,READ_MANIFEST_ENTRY,5,G2,0x05,47,0xEB,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
62,SELECT_GROUP_BANK_WRITE,6,G3,0x06,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
63,VERIFY_GROUP_BANK_READ,6,G3,0x06,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
64,READ_MANIFEST_ENTRY,6,G3,0x06,48,0xF0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
65,READ_MANIFEST_ENTRY,6,G3,0x06,49,0xF2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
66,READ_MANIFEST_ENTRY,6,G3,0x06,50,0xF3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
67,READ_MANIFEST_ENTRY,6,G3,0x06,51,0xF4,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
68,READ_MANIFEST_ENTRY,6,G3,0x06,52,0xF5,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
69,READ_MANIFEST_ENTRY,6,G3,0x06,53,0xE2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
70,READ_MANIFEST_ENTRY,6,G3,0x06,54,0xE3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
71,READ_MANIFEST_ENTRY,6,G3,0x06,55,0xE8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
72,READ_MANIFEST_ENTRY,6,G3,0x06,56,0xE9,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
73,READ_MANIFEST_ENTRY,6,G3,0x06,57,0xEA,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
74,READ_MANIFEST_ENTRY,6,G3,0x06,58,0xEB,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
75,SELECT_GROUP_BANK_WRITE,7,G4,0x07,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
76,VERIFY_GROUP_BANK_READ,7,G4,0x07,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
77,READ_MANIFEST_ENTRY,7,G4,0x07,59,0xF0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
78,READ_MANIFEST_ENTRY,7,G4,0x07,60,0xF2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
79,READ_MANIFEST_ENTRY,7,G4,0x07,61,0xF3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
80,READ_MANIFEST_ENTRY,7,G4,0x07,62,0xF4,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
81,READ_MANIFEST_ENTRY,7,G4,0x07,63,0xF5,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
82,READ_MANIFEST_ENTRY,7,G4,0x07,64,0xE2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
83,READ_MANIFEST_ENTRY,7,G4,0x07,65,0xE3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
84,READ_MANIFEST_ENTRY,7,G4,0x07,66,0xE8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
85,READ_MANIFEST_ENTRY,7,G4,0x07,67,0xE9,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
86,READ_MANIFEST_ENTRY,7,G4,0x07,68,0xEA,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
87,READ_MANIFEST_ENTRY,7,G4,0x07,69,0xEB,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
88,SELECT_GROUP_BANK_WRITE,8,G5,0x08,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
89,VERIFY_GROUP_BANK_READ,8,G5,0x08,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
90,READ_MANIFEST_ENTRY,8,G5,0x08,70,0xF0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
91,READ_MANIFEST_ENTRY,8,G5,0x08,71,0xF2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
92,READ_MANIFEST_ENTRY,8,G5,0x08,72,0xF3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
93,READ_MANIFEST_ENTRY,8,G5,0x08,73,0xF4,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
94,READ_MANIFEST_ENTRY,8,G5,0x08,74,0xF5,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
95,READ_MANIFEST_ENTRY,8,G5,0x08,75,0xE2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
96,READ_MANIFEST_ENTRY,8,G5,0x08,76,0xE3,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
97,READ_MANIFEST_ENTRY,8,G5,0x08,77,0xE8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
98,READ_MANIFEST_ENTRY,8,G5,0x08,78,0xE9,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
99,READ_MANIFEST_ENTRY,8,G5,0x08,79,0xEA,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
100,READ_MANIFEST_ENTRY,8,G5,0x08,80,0xEB,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
101,SELECT_GROUP_BANK_WRITE,9,G0-POST,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
102,VERIFY_GROUP_BANK_READ,9,G0-POST,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
103,READ_MANIFEST_ENTRY,9,G0-POST,0x00,81,0xA8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
104,RESTORE_ENTRY_BANK_WRITE,N/A,N/A,ENTRY_BANK,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
105,VERIFY_ENTRY_BANK_READ,N/A,N/A,ENTRY_BANK,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
