OBSERVER_OUTPUT,ENDPOINT,CLASSIFICATION
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[7],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[7],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[7],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[7]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[7],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[7]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[8],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[8],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[8],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[8],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[8],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[9],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[9],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[9],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[9],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[0]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[2]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[3]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[9]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[8]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[7]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[31]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[30]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[29]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[28]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[27]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[26]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[25]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[24]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[23]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[22]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[21]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[20]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[1]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[19]/R,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_frozen,NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[18]/R,READOUT_PATH
