ab_index,block_index,replica,mode_planned,mode_effective,block_id,scan_attempt_id,generation_before,generation_after,complete,first_entry_read_opportunities,regaddr_nack_events,other_recovered_causes,retried_entries,bank_restore,entry_count,group_count,transaction_count,fpga_ticks,fpga_duration_ms,host_start_ns,host_collected_ns,raw_sha256,legacy_raw_sha256,telemetry_raw_sha256,w3a_status,rejected_write_count
45,3,I,B,B,3271557379,46,45,46,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717504844174726,1789717505021608030,56D3D51EAB7CB746A95BBF0C57B426F33C5F4056110BF9ECAC1A7D1FA7AE6AFD,C55BF1C531B2B63832783AEEEBA19BCDD719020C03953D46263056AA0A02577C,05C1E843D0D98A952107ACF60DA79D6FE4D09DCE5EB2820759B9BB4ABEF6177F,28,0
46,3,I,B,B,3271557379,47,46,47,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717505029155426,1789717505207836440,E0B93FC09B2646334F20F68FBE892D11605C5DAB6E9F4FAB63249ECC7DBDC35B,262CDC067DF35F68FE80FC167B021E9D37248E34306D5449B5FE6436D5ECFE45,B311EAFC9A0CAAC8EBE28460E73EB24C09E57E37A428EFE0A9A23CB99E8FFB08,28,0
47,3,I,B,B,3271557379,48,47,48,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717505215086839,1789717505392614887,9DDB7433C60B55130A05021191DF547A6158B28AE5B5B11287BDAB733C868176,2667E32786A2FC2BA8747AF57AB76DC141ED170E38F7DD398D88E8353E625DC0,4D5043347083772E8AEC5530602D71F6D888713B4A1D924B76522CD652DEB74B,28,0
48,3,I,B,B,3271557379,49,48,49,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717505400025861,1789717505578957980,30A25C032C61075DD8FDE85CBC04B1D7E9B9EE5C934DFBB6B973C9BABD72D45D,FEBCCA950F625C1A27F03D00C541EDB66A59EEAF89CE0D47BE07D1B600741C6A,0237C6E664295912960BD30CC3E55592A91D66AA36AF43DDCFDC8EE56747A8E4,28,0
49,4,I,A,A,3271557380,50,49,50,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717506653534249,1789717506828046267,F43BF56A897D8DCC612814458F7A8FE442EE5D3760855F0AB21BE7594359E4C4,07955F5FEFD7D4E89F2E3A4B0D8473F214605DC4E7B58B7366036CF4441FC73F,AFAE5FD8CC1744C72C2A41FBDB4C5DB6A6661B6E7F808C85D2E8627C5700BFE6,8,0
50,4,I,A,A,3271557380,51,50,51,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717506839172541,1789717507015043834,DF0CA396FC9718EDA6F929C9FEC9EF5613909A38EE6912309A7B88155B4118E6,38F48D13361E035649FB7987C5571020793E816B3D8D288F2FA0C620B98E34EE,B34D8269C58022A7821E9240E5C5147D9A93DCAB178C021874095F8E81FCD0B0,8,0
51,4,I,A,A,3271557380,52,51,52,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717507022573277,1789717507198599668,85119CF9C402AB6F55BBC7BE418F31AF4FD5329AFA69ABBCA16AAC5B6A764318,F196FCB515F896544CBA6E58DCA2E4C7695011B31F39BADCA822667194CE8140,AA8150C304637C1165A860B4CC411DD0D2A8DD1273E87EF25FEFB19D8CBAA48F,8,0
52,4,I,A,A,3271557380,53,52,53,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717507206208777,1789717507381019306,6F2AEF5FBF592AE4C180D5E2CDE49C54322E01A595F10ADE2AB48F48C91CA179,90417362623EBBD37FCB4C85617B7CF57A5A80547A25F3DE358E05FD3EBE0999,6EB8D10BEC0489BB1EBA8DFE31581798591D12646B66B6D43ECF80DEB4C65CD7,8,0
53,4,I,A,A,3271557380,54,53,54,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717507388493137,1789717507564637144,06EE1245D9C48767CBAECD4F3A2F7D041BC01D693DF375BF50C8C18CC8314C87,C99244F9D901938AEF7234AA5CE3E59878F766F5A5DB19F09156598DFD5FED99,0E67ABD97FF2D67D53ED344125AF893579C78773C995369B5203B78D94FE084D,8,0
54,4,I,A,A,3271557380,55,54,55,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717507572127986,1789717507748217883,6A337283DE5B957421BA4E6EB301B84F71FF64CF0D7A535EFEACF023B3FC06B9,E3E2DF450948346ACCA31EDCE284272D33BEF83C3F485D0738FC1552C3269141,8401B214C5877CC263D38000FB4C4CB71D1DA31A02B9C320A2AFF09801181FE6,8,0
