Property                                  Type    Read-only  Value
SLOT_CAP_POWER_INDICATOR_PRESENT          string  false      FALSE
SLOT_CAP_SLOT_POWER_LIMIT_SCALE           int     false      0
SLOT_CAP_SLOT_POWER_LIMIT_VALUE           hex     false      8'h00
SLR_INDEX                                 int     true       0
SPARE_BIT0                                int     false      0
SPARE_BIT1                                int     false      0
SPARE_BIT2                                int     false      0
SPARE_BIT3                                int     false      0
SPARE_BIT4                                int     false      0
SPARE_BIT5                                int     false      0
SPARE_BIT6                                int     false      0
SPARE_BIT7                                int     false      0
SPARE_BIT8                                int     false      0
SPARE_BYTE0                               hex     false      8'h00
SPARE_BYTE1                               hex     false      8'h00
SPARE_BYTE2                               hex     false      8'h00
SPARE_BYTE3                               hex     false      8'h00
SPARE_WORD0                               hex     false      32'h00000000
SPARE_WORD1                               hex     false      32'h00000000
SPARE_WORD2                               hex     false      32'h00000000
SPARE_WORD3                               hex     false      32'h00000000
SSL_MESSAGE_AUTO                          string  false      FALSE
STATUS                                    enum    true       FIXED
TECRC_EP_INV                              string  false      FALSE
TL_RBYPASS                                string  false      FALSE
TL_RX_RAM_RADDR_LATENCY                   int     false      0
TL_RX_RAM_RDATA_LATENCY                   int     false      2
TL_RX_RAM_WRITE_LATENCY                   int     false      0
TL_TFC_DISABLE                            string  false      FALSE
TL_TX_CHECKS_DISABLE                      string  false      FALSE
TL_TX_RAM_RADDR_LATENCY                   int     false      0
TL_TX_RAM_RDATA_LATENCY                   int     false      2
TL_TX_RAM_WRITE_LATENCY                   int     false      0
TRN_DW                                    string  false      FALSE
TRN_NP_FC                                 string  false      TRUE
UPCONFIG_CAPABLE                          string  false      TRUE
UPSTREAM_FACING                           string  false      TRUE
UR_ATOMIC                                 string  false      FALSE
UR_CFG1                                   string  false      TRUE
UR_INV_REQ                                string  false      TRUE
UR_PRS_RESPONSE                           string  false      TRUE
USER_CLK2_DIV2                            string  false      FALSE
USER_CLK_FREQ                             int     false      1
USE_RID_PINS                              string  false      FALSE
VC0_CPL_INFINITE                          string  false      TRUE
VC0_RX_RAM_LIMIT                          hex     false      13'h07FF
VC0_TOTAL_CREDITS_CD                      int     false      461
VC0_TOTAL_CREDITS_CH                      int     false      36
VC0_TOTAL_CREDITS_NPD                     int     false      24
VC0_TOTAL_CREDITS_NPH                     int     false      12
VC0_TOTAL_CREDITS_PD                      int     false      437
VC0_TOTAL_CREDITS_PH                      int     false      32
VC0_TX_LASTPACKET                         int     false      29
VC_BASE_PTR                               hex     false      12'h000
VC_CAP_ID                                 hex     false      16'h0002
VC_CAP_NEXTPTR                            hex     false      12'h000
VC_CAP_ON                                 string  false      FALSE
VC_CAP_REJECT_SNOOP_TRANSACTIONS          string  false      FALSE
VC_CAP_VERSION                            hex     false      4'h1
VSEC_BASE_PTR                             hex     false      12'h000
VSEC_CAP_HDR_ID                           hex     false      16'h1234
VSEC_CAP_HDR_LENGTH                       hex     false      12'h018
VSEC_CAP_HDR_REVISION                     hex     false      4'h1
VSEC_CAP_ID                               hex     false      16'h000B
VSEC_CAP_IS_LINK_VISIBLE                  string  false      TRUE
VSEC_CAP_NEXTPTR                          hex     false      12'h000
VSEC_CAP_ON                               string  false      FALSE
VSEC_CAP_VERSION                          hex     false      4'h1
